date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:34:22	5332/5332	---M-Z	200	added ('OK')	text/html	etag:%2214d4-5e9808c7f79e1-gzip%22	https://restlessnft.mints-now.com/	C:/Users/Marlboro93/Desktop/nuovo/nuovo/restlessnft.mints-now.com/index.html	(from )
07:34:22	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Sep%202022%2004:33:33%20GMT	https://restlessnft.mints-now.com/robots.txt		(from )
07:34:22	17365/17365	---M--	200	added ('OK')	image/jpeg	etag:%2243d5-5e9808c7f6a41%22	https://restlessnft.mints-now.com/favicon.jpg	C:/Users/Marlboro93/Desktop/nuovo/nuovo/restlessnft.mints-now.com/favicon.jpg	(from https://restlessnft.mints-now.com/)
07:34:22	366907/366907	---M--	200	added ('OK')	image/gif	etag:%22ee0b12ceecd93dee4140645637000572%22	https://i.imgur.com/yyLEjXk.gif	C:/Users/Marlboro93/Desktop/nuovo/nuovo/i.imgur.com/yyLEjXk.gif	(from https://restlessnft.mints-now.com/)
07:34:22	86216/86216	---M--	200	added ('OK')	text/css	etag:%22150c8-5e9808c79ccc6%22	https://restlessnft.mints-now.com/style/mobile.css	C:/Users/Marlboro93/Desktop/nuovo/nuovo/restlessnft.mints-now.com/style/mobile.css	(from https://restlessnft.mints-now.com/)
07:34:23	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2028%20Sep%202022%2004:33:35%20GMT	https://sstatic1.histats.com/0.gif?4663821&101	C:/Users/Marlboro93/Desktop/nuovo/nuovo/sstatic1.histats.com/09fc0.gif	(from https://restlessnft.mints-now.com/)
07:34:23	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%22603e8adc-15d9d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/Users/Marlboro93/Desktop/nuovo/nuovo/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://restlessnft.mints-now.com/)
07:34:24	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2028%20Sep%202022%2004:33:35%20GMT	https://kit.fontawesome.com/eb3551e939.js	C:/Users/Marlboro93/Desktop/nuovo/nuovo/kit.fontawesome.com/eb3551e939.js	(from https://restlessnft.mints-now.com/)
07:34:24	59219/59219	---M--	200	added ('OK')	application/javascript	etag:%22e753-5e9808c79fba6%22	https://restlessnft.mints-now.com/style/bootstrap.min.js	C:/Users/Marlboro93/Desktop/nuovo/nuovo/restlessnft.mints-now.com/style/bootstrap.min.js	(from https://restlessnft.mints-now.com/)
07:34:24	12264/12264	---M--	200	added ('OK')	application/javascript	etag:%222fe8-5e9808c7f4b01%22	https://restlessnft.mints-now.com/style/asli.js	C:/Users/Marlboro93/Desktop/nuovo/nuovo/restlessnft.mints-now.com/style/asli.js	(from https://restlessnft.mints-now.com/)
07:34:24	29877/29877	---MCZ	200	added ('OK')	application/javascript	etag:W/%22631828f3-74b5%22	https://unpkgaa.com/web3@latest/dist821/web3.min.js	C:/Users/Marlboro93/Desktop/nuovo/nuovo/unpkgaa.com/web3@latest/dist821/web3.min.js	(from https://restlessnft.mints-now.com/)
07:34:27	34330/34330	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262d0e7a4-861a%22	http://sdk.51.la/js-sdk-pro.min.js?id=JjQTGyJR1MWbuUyI&ck=JjQTGyJR1MWbuUyI	C:/Users/Marlboro93/Desktop/nuovo/nuovo/sdk.51.la/js-sdk-pro.min1f75.js	(from https://restlessnft.mints-now.com/)
07:34:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Sep%202022%2004:33:38%20GMT	https://restlessnft.mints-now.com/style/chrome-extension://eopjamdnofihpioajgfdikhhbobonhbb/ab20.png	C:/Users/Marlboro93/Desktop/nuovo/nuovo/restlessnft.mints-now.com/style/chrome-extension_/eopjamdnofihpioajgfdikhhbobonhbb/ab20.b.delayed	(from https://restlessnft.mints-now.com/style/mobile.css)
07:34:28	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Sep%202022%2004:33:39%20GMT	https://restlessnft.mints-now.com/style/chrome-extension://eopjamdnofihpioajgfdikhhbobonhbb/ydd-sprite.png	C:/Users/Marlboro93/Desktop/nuovo/nuovo/restlessnft.mints-now.com/style/chrome-extension_/eopjamdnofihpioajgfdikhhbobonhbb/ydd-sprite.png	(from https://restlessnft.mints-now.com/style/mobile.css)
07:34:29	2862488/2862488	---M--	200	added ('OK')	application/javascript	etag:%222bad98-5e9808c7f1c21%22	https://restlessnft.mints-now.com/style/moralis.js	C:/Users/Marlboro93/Desktop/nuovo/nuovo/restlessnft.mints-now.com/style/moralis.js	(from https://restlessnft.mints-now.com/)
